region,country,C1_ICT_share_PC_EMP_2022,C2_Labour_cost_EUR_per_hour_2022,C3_REN_ELC_PC_2022,C4_Electricity_price_EUR_per_kWh_2022,C5_Population_density_PER_KM2_2022
IE06,IE,6.3,38.0,37.387,0.2526,179.9
DE71,DE,5.0,39.6,48.041,0.2094,542.8
DE30,DE,5.0,39.6,48.041,0.2094,4320.5
NL32,NL,7.2,40.3,39.651,0.1817,1064.7
FR10,FR,4.3,40.4,27.36,0.127,1037.0
SE11,SE,8.6,40.2,83.372,0.1323,372.1
FI1B,FI,7.6,35.9,47.966,0.0979,189.5
DK01,DK,5.7,47.1,76.708,0.19435,772.0
ES30,ES,4.3,23.3,50.888,0.20405,853.9
ITC4,IT,3.9,29.3,37.102,0.29485,432.1
AT13,AT,5.0,38.5,73.64,0.17015,4941.5
BE10,BE,5.6,43.5,29.505,0.2155,7660.0
CZ01,CZ,4.5,16.2,15.498,0.17065,2714.2
PL91,PL,3.7,12.5,21.009,0.16285,542.7
RO32,RO,2.8,9.5,43.726,0.296,1299.4
RO11,RO,2.8,9.5,43.726,0.296,74.3
HU11,HU,4.2,10.7,15.333,0.19505,3277.9
BG41,BG,3.8,8.2,20.362,0.1765,99.7
EL30,EL,2.5,14.7,42.361,0.23835,1003.4
PT17,PT,4.5,16.1,60.991,0.12805,1026.6
EE00,EE,6.6,16.4,29.115,0.21055,31.3
LT01,LT,4.4,13.1,26.461,0.255,88.4
SK01,SK,4.3,15.7,22.901,0.22945,359.2
LV00,LV,4.4,12.2,53.519,0.17035,29.7
